LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"e $150,000-350,000",39 WEA FOOD GROUP INC,1991 BROADWAY,NEW YORK,NY,10023,722513,Corporation,Unanswered,Unanswered,Unanswered,,0,04/27/2020,Signature Bank,NY-10
"e $150,000-350,000",390 OPERATING CORP.,1371 CHURCH ST STE 7,BOHEMIA,NY,11716,238210,Corporation,Unanswered,Unanswered,Unanswered,,21,05/03/2020,"Bank of America, National Association",NY-02
"d $350,000-1 million","3900 SHERIDAN DRIVE, LLC",3900 Sheridan Drive,BUFFALO,NY,14226,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,68,04/10/2020,Manufacturers and Traders Trust Company,NY-26
"e $150,000-350,000","3900 WEST LANE BOWL, INC.",3900 West Lane,STOCKTON,CA,95204,713950,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,Farmers & Merchants Bank of Central California,CA-09
"e $150,000-350,000",3907 14TH HOSPITALITY LLC,3907 14TH ST NW,WASHINGTON,DC,20011,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,37,04/14/2020,"PNC Bank, National Association",DC-00
"e $150,000-350,000","3919 SCOTT STREET, INC.",4220 Pinemont Dr,HOUSTON,TX,77018,722513,Corporation,Black or African American,Male Owned,Non-Veteran,,37,04/11/2020,Unity National Bank of Houston,TX-18
"d $350,000-1 million",3921 COLLINS AVENUE LLC,3931 Collins Ave,MIAMI BEACH,FL,33139,999990,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,115,04/05/2020,City National Bank of Florida,FL-24
"e $150,000-350,000","39230, LLC",55 Furnace St,AKRON,OH,44308,722310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,44,04/10/2020,The Huntington National Bank,OH-13
c $1-2 million,3925 PARTNERS LTD,4950 E HWY 377,GRANBURY,TX,76049,423110,Partnership,Unanswered,Male Owned,Unanswered,,122,04/13/2020,PlainsCapital Bank,TX-12
"d $350,000-1 million","3927 VAN BUREN, LLC",3927 Van Buren Pl,Culver City,CA,90232,237210,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,76,04/28/2020,"Harvest Small Business Finance, LLC",CA-37
c $1-2 million,"3930 SD, LLC",3930 Sheridan Drive,Amherst,NY,14226,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,99,04/14/2020,Manufacturers and Traders Trust Company,NY-26
"e $150,000-350,000","394 CITY ISLAND AVE., INC. DBA ARTIE'S S",394 CITY ISLAND AVE,BRONX,NY,10464,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,33,05/01/2020,"JPMorgan Chase Bank, National Association",NY-14
"d $350,000-1 million",395 BLOOMFIELD AVENUE CORP.,395 bloomfield avenue,CALDWELL,NJ,7006,722511,Corporation,White,Male Owned,Unanswered,,83,04/15/2020,Kearny Bank,NJ-11
"e $150,000-350,000",395 E LLC,2855 Indianola Avenue,COLUMBUS,OH,43202,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,48,04/14/2020,Heartland Bank,OH-12
"e $150,000-350,000",395 EXTENSION CORP,365 BRIDGE ST,BROOKLYN,NY,11201,722513,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,47,04/11/2020,"TD Bank, National Association",NY-07
c $1-2 million,3955 WH ROAD LLC,8040 Transit Road,Buffalo,NY,14221,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,127,04/14/2020,Manufacturers and Traders Trust Company,NY-26
"e $150,000-350,000","3959 PROPERTY HOLDINGS, LLC",3959 nw 79TH AVE,DORAL,FL,33166,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,32,04/27/2020,Ocean Bank,FL-25
"e $150,000-350,000",39N MAACO HOLDINGS LLC,80 PINE ST STE 3202,NEW YORK,NY,10005,811121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/15/2020,"TD Bank, National Association",NY-10
"e $150,000-350,000",39TH AVE HOLDING LLC,2705 39th Ave,Long Island City,NY,11101,721110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,25,04/27/2020,Ponce Bank,NY-12
"d $350,000-1 million","39TH STREET BEVCO OF KANSAS, LLC",1000 BROADWAY ST SUITE 400,KANSAS CITY,MO,64105,722310,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,56,04/27/2020,Carson Bank,MO-05
"e $150,000-350,000",3A BUSINESS GROUP INC,9903 Sand Dollar Drive,Houston,TX,77065,423420,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,08/07/2020,"FC Marketplace, LLC (dba Funding Circle)",TX-07
"d $350,000-1 million",3A CLOTHING INC,9990 EAST FWY Suite D,Jacinto City,TX,77029,424330,Corporation,Unanswered,Unanswered,Unanswered,,75,04/28/2020,Frost Bank,TX-18
"e $150,000-350,000","3A COLLISION, LLC",6420 SUMMER AVE,BARTLETT,TN,38134,811121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/07/2020,Bank of Bartlett,TN-09
a $5-10 million,"3A COMPOSITES USA, INC","Two Harbour Place, 721 Jetton St Suite 325",Davidson,NC,28036,339950,Corporation,Unanswered,Unanswered,Unanswered,,112,04/10/2020,"JPMorgan Chase Bank, National Association",NC-12
"e $150,000-350,000",3A CONSULTING AND SERVICE INC,7750 Belfort Parkway 137,Jacksonville,FL,32256,453998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,07/23/2020,Cross River Bank,FL-04
"e $150,000-350,000",3A HOMECARE AGENCY INC.,1952 US HWY 22,Bound Brook,NJ,8805,621610,Corporation,Unanswered,Unanswered,Unanswered,,56,04/28/2020,Valley National Bank,NJ-07
"e $150,000-350,000",3A MARINE SERVICE INC,316 LINCOLN ST,HINGHAM,MA,2043,441222,Corporation,Unanswered,Unanswered,Unanswered,,18,04/12/2020,Rockland Trust Company,MA-08
"e $150,000-350,000",3A MOSS CO,14329 US HIGHWAY 20,MIDDLEBURY,IN,46540,722320,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,48,04/07/2020,First State Bank of Middlebury,IN-03
"d $350,000-1 million",3A NORTH PARK AVE. REST CORP.,3A N PARK AVE,ROCKVILLE CTR,NY,11570,722511,,Unanswered,Male Owned,Non-Veteran,,50,05/01/2020,"JPMorgan Chase Bank, National Association",NY-04
"e $150,000-350,000",3A SOFT INC,15 CORPORATE PL S,PISCATAWAY,NJ,8854,541511,Corporation,Unanswered,Unanswered,Unanswered,,14,04/13/2020,"PNC Bank, National Association",NJ-06
"e $150,000-350,000","3AAAS, LLC",130 College St,ASHEVILLE,NC,28801,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,37,04/12/2020,First Bank,NC-10
"e $150,000-350,000","3AC RESTAURANT, LLC",3550 LENOX RD Ste 550,ATLANTA,GA,30326,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,56,04/28/2020,Vinings Bank,GA-05
"e $150,000-350,000","3ADVANCE, LLC",1001 Connecticut Ave NW,Washington,DC,20036,541511,Corporation,Unanswered,Unanswered,Unanswered,,8,05/03/2020,Celtic Bank Corporation,DC-00
"e $150,000-350,000","3B CONSULTANT SERVICES, INC.",194 Middle Rd,Catawissa,PA,17820,561720,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,0,04/07/2020,First Columbia Bank & Trust Co,PA-09
"e $150,000-350,000",3B CONSULTING SERVICES LLC,140 HILL TOP AVE,LEBANON,VA,24266,541330,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,21,04/28/2020,"New Peoples Bank, Inc.",VA-09
"d $350,000-1 million","3B DENTAL LABORATORY, LLC","10610 Metric Dr., Suite 191",DALLAS,TX,75243,339114,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,92,04/07/2020,Frost Bank,TX-32
"d $350,000-1 million","3B DOZER SERVICE, LLC",PO BOX 249,BREMOND,TX,76629,333120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,88,04/06/2020,First National Bank of Central Texas,TX-17
c $1-2 million,3B ENTERPRISES INC,4101 TAYLORSVILLE RD,LOUISVILLE,KY,40220,624120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,330,04/13/2020,"PNC Bank, National Association",KY-03
"e $150,000-350,000",3B ENTERPRISES LLC,920 Stock Dr,CRAIG,CO,81626,212312,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,0,04/06/2020,Yampa Valley Bank,CO-03
c $1-2 million,"3B ENTERPRISES, LLC",3387 RIEGO ROAD,ELVERTA,CA,95626,237130,Limited  Liability Company(LLC),White,Male Owned,Veteran,,30,04/10/2020,First Savings Bank,CA-03
"e $150,000-350,000",3B GROUP LLC,4720 yender ave,LISLE,IL,60532,424910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,04/09/2020,BMO Harris Bank National Association,IL-06
"d $350,000-1 million","3B HOLDINGS, INC.",11470 EUCLID AVE Ste 407,CLEVELAND,OH,44106,423990,Corporation,White,Male Owned,Non-Veteran,,66,04/27/2020,Civista Bank,OH-11
c $1-2 million,"3B INSPECTION, LLC",11133 BROOK GREEN LN,HASLET,TX,76052,541990,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,102,04/05/2020,Community National Bank,TX-12
"e $150,000-350,000",3B INTERNATIONAL LLC,100 BOMONT PL,TOTOWA,NJ,7512,424210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,04/09/2020,"JPMorgan Chase Bank, National Association",NJ-11
"e $150,000-350,000",3B LLC,95 MORRISTOWN RD,BASKING RIDGE,NJ,7920,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,04/28/2020,BCB Community Bank,NJ-11
"e $150,000-350,000","3B MEDICAL, INC",203 AVENUE A STE 300,WINTER HAVEN,FL,33881,339112,Corporation,Unanswered,Unanswered,Unanswered,,23,04/12/2020,"South State Bank, National Association",FL-09
"e $150,000-350,000","3B PAIN MANAGEMENT CENTER, P.C.",600 Louis Dr,WARMINSTER,PA,18974,621498,Corporation,Unanswered,Unanswered,Unanswered,,,04/09/2020,"TD Bank, National Association",PA-01
"e $150,000-350,000","3B STUDIO, INC.",405 MAIN ST SUITE 1100,HOUSTON,TX,77002,541430,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,05/01/2020,"JPMorgan Chase Bank, National Association",TX-18
"e $150,000-350,000","3B TIMBER COMPANY, INC.",PO Box 761,BOONVILLE,NY,13309,444190,Corporation,White,Male Owned,Non-Veteran,,27,04/13/2020,KeyBank National Association,NY-22
"d $350,000-1 million","3B2 SOLUTIONS, LLC",35B Concouse Way,Greer,SC,29650,811219,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,54,04/15/2020,First-Citizens Bank & Trust Company,SC-04
"e $150,000-350,000","3B3G HOLDINGS, LLC",253 E 1600 N,Vineyard,UT,84059,323113,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,70,04/27/2020,Altabank,UT-03
"d $350,000-1 million",3BD HOLDINGS INC,1580 JESSE ST,LOS ANGELES,CA,90021,511210,Corporation,Unanswered,Unanswered,Unanswered,,68,05/03/2020,"Bank of America, National Association",CA-34
"e $150,000-350,000",3BG SUPPLY CO.,118 W COLUMBIA ST STE 402,FORT WAYNE,IN,46802,454110,Corporation,Unanswered,Unanswered,Unanswered,,,04/08/2020,First Merchants Bank,IN-03
"e $150,000-350,000","3BL HOLDINGS, LLC",1455 NW IRVING ST STE 590,PORTLAND,OR,97209,531390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/27/2020,Columbia State Bank,OR-01
"d $350,000-1 million",3BM CASSELBERRY INCORPORATED,706 TURNBULL AVE,ALTAMONTE SPRINGS,FL,32701,722511,Corporation,Unanswered,Unanswered,Unanswered,,240,04/15/2020,"Newtek Small Business Finance, Inc.",FL-07
"e $150,000-350,000","3BM, INC.",151 N NOB HILL RD STE 127,PLANTATION,FL,33324,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,05/01/2020,"JPMorgan Chase Bank, National Association",FL-23
"d $350,000-1 million","3BM1 AMADA, LLC",990 SPRING GARDEN STREET SUITE 600,PHILADELPHIA,PA,19123,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,140,04/09/2020,"Wilmington Savings Fund Society, FSB",PA-03
"d $350,000-1 million","3BM1 CATERING, LLC",990 SPRING GARDEN STREET SUITE 600,PHILADELPHIA,PA,19123,722320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,456,04/09/2020,"Wilmington Savings Fund Society, FSB",PA-03
"d $350,000-1 million","3BM1 LQ, LLC",990 SPRING GARDEN ST SUITE 600,PHILADELPHIA,PA,19123,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,93,04/09/2020,"Wilmington Savings Fund Society, FSB",PA-03
"d $350,000-1 million","3BM1 MANAGEMENT SERVICES, LLC",990 SPRING GARDEN ST SUITE 600,PHILADELPHIA,PA,19123,551114,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,04/09/2020,"Wilmington Savings Fund Society, FSB",PA-03
"e $150,000-350,000","3BM1 OLDE BAR, LLC",990 SPRING GARDEN ST SUITE 600,PHILADELPHIA,PA,19123,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,81,04/09/2020,"Wilmington Savings Fund Society, FSB",PA-03
"e $150,000-350,000",3BS EMERGING SOLUTIONS LLC,176 South Clinton Street Suite 2209,East Orange,NJ,7018,519190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,07/23/2020,"FC Marketplace, LLC (dba Funding Circle)",NJ-10
"d $350,000-1 million",3BTECH INC,3431 WILLIAM RICHARDSON DR,SOUTH BEND,IN,46628,423430,Corporation,Unanswered,Male Owned,Non-Veteran,,35,04/27/2020,CTBC Bank Corp. (USA).,IN-02
"e $150,000-350,000",3C BUSINESS SOLUTIONS INC,1213 FLINT MEADOW DR,KAYSVILLE,UT,84037,339999,Corporation,Unanswered,Unanswered,Unanswered,,23,04/14/2020,Cache Valley Bank,UT-01
"d $350,000-1 million",3C CONSTRUCTION CORPORATION,"3601 NW 55 Street, Suite 201",MIAMI,FL,33142,236220,Subchapter S Corporation,Hispanic,Male Owned,Non-Veteran,,57,04/04/2020,City National Bank of Florida,FL-24
"e $150,000-350,000",3C CONSTRUCTION LLC,4001 30TH AVE,MANDAN,ND,58554,237130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/03/2020,Starion Bank,ND-00
"e $150,000-350,000","3C ENGINEERING, INC.",1500 PALM ST,SAN LUIS OBISPO,CA,93401,541330,Corporation,Unanswered,Male Owned,Unanswered,,20,04/14/2020,Pacific Premier Bank,CA-24
"e $150,000-350,000",3C FINANCIAL PARTNERS LLC,305 S Poinsettia Ave,Manhattan Beach,CA,90266,523930,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,7,04/28/2020,First Republic Bank,CA-33
"e $150,000-350,000",3C LAWN AND LANDSCAPE LLC,4970 S LOOP 306,SAN ANGELO,TX,76905,561730,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,28,04/08/2020,The First National Bank of Ballinger,TX-11
"d $350,000-1 million",3C LOGIC INC,9201 CORPORATE BLVD,ROCKVILLE,MD,20850,541613,Corporation,Unanswered,Unanswered,Unanswered,,0,04/07/2020,Truist Bank d/b/a Branch Banking & Trust Co,MD-08
"e $150,000-350,000",3C MECHANICAL TECHNOLOGIES INC.,5774 S UNIVERSITY PARKS DR,WACO,TX,76706,238220,Corporation,Unanswered,Male Owned,Unanswered,,23,04/07/2020,"Community Bank & Trust, Waco, Texas",TX-17
"e $150,000-350,000",3C PAYMENT USA CORP,1 OAKBROOK TER ste 206,OAKBROOK TERRACE,IL,60181,541519,Corporation,Unanswered,Unanswered,Unanswered,,20,04/30/2020,"Bank of America, National Association",IL-06
"e $150,000-350,000","3C SERVICES, LLC",2900 GRIFFITH ST,CHARLOTTE,NC,28203,541214,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/07/2020,Truist Bank d/b/a Branch Banking & Trust Co,NC-12
"d $350,000-1 million",3C STORE FIXTURES INC,3363 US HIGHWAY 301 N,WILSON,NC,27893,337215,Corporation,White,Female Owned,Non-Veteran,,88,04/08/2020,Truist Bank d/b/a Branch Banking & Trust Co,NC-01
"d $350,000-1 million",3C TECHNOLOGY SOLUTIONS LLC,2786 WALCUTT RD,HILLIARD,OH,43026,812990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,34,04/13/2020,"PNC Bank, National Association",OH-15
"e $150,000-350,000","3CC CONCRETE, LLC",352 North Flint Street,Kaysville,UT,84037,237990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,12,06/10/2020,"Zions Bank, A Division of",UT-01
"e $150,000-350,000",3CD CORPORATION,18600 Lararmie Road,Country Club Hills,IL,60478,236220,Corporation,Unanswered,Unanswered,Unanswered,,15,04/27/2020,Great Lakes CU,IL-02
"e $150,000-350,000",3CD LLC,9409 NE HIGHWAY 99,VANCOUVER,WA,98665,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/15/2020,Cross River Bank,WA-03
c $1-2 million,3CHORDS INC. DBA THERAPYTRAVELERS,355 Redondo Ave,LONG BEACH,CA,90814,561320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,154,04/15/2020,"JPMorgan Chase Bank, National Association",CA-47
c $1-2 million,3CINTERACTIVE CORP.,750 Park of Commerce Blvd Suite 400,Boca Raton,FL,33487,518210,Corporation,Unanswered,Unanswered,Unanswered,,100,04/28/2020,Silicon Valley Bank,FL-22
"d $350,000-1 million",3CLOUD LLC,3025 HIGHLAND PKWY,DOWNERS GROVE,IL,60515,541690,Partnership,Unanswered,Unanswered,Unanswered,,46,04/04/2020,CIBC Bank USA,IL-06
"e $150,000-350,000",3CM STONE INC,19980 SW 112TH AVE.,TUALATIN,OR,97062,444190,Corporation,Unanswered,Male Owned,Non-Veteran,,,05/03/2020,"Wells Fargo Bank, National Association",OR-01
"d $350,000-1 million",3CON CORPORATION,47295 Cartier,WIXOM,MI,48393,333999,Corporation,Unanswered,Unanswered,Unanswered,,51,04/28/2020,Capitol National Bank,MI-11
"d $350,000-1 million","3CORE SYSTEMS, INC.",9101 BURNET RD STE 207,AUSTIN,TX,78758,541519,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,37,04/15/2020,"JPMorgan Chase Bank, National Association",TX-10
"e $150,000-350,000",3CP LLC,724 N Milwaukee St,MILWAUKEE,WI,53202,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,29,04/06/2020,First Business Bank,WI-04
"e $150,000-350,000",3CS BLESSING INC,15 E 167th St,Bronx,NY,10452,722513,Subchapter S Corporation,Black or African American,Male Owned,Non-Veteran,,58,04/28/2020,"Grow America Fund, Incorporated",NY-15
"e $150,000-350,000",3CS RANCH LLC,10817 SANDEN DR,DALLAS,TX,75238,112990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/15/2020,"Affiliated Bank, National Association",TX-05
"d $350,000-1 million","3D AT DEPTH, INC.","1900 S Sunset St., Suite 1-D",LONGMONT,CO,80501,541370,Corporation,White,Unanswered,Non-Veteran,,24,04/10/2020,"Zions Bank, A Division of",CO-04
"e $150,000-350,000",3D AVIATION INC,1300 New Hwy,Farmingdale,NY,11735,481219,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/30/2020,American Express National Bank,NY-02
"d $350,000-1 million","3D BIO HOLDINGS, INC. DBA 3DBIO THERAPEU TICS",5136 35TH ST,LONG ISLAND CITY,NY,11101,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,31,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"d $350,000-1 million",3D BREAD BAKERS LLC,4140 N. Kolmar Avenue,CHICAGO,IL,60641,311812,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39,04/07/2020,Busey Bank,IL-05
"e $150,000-350,000",3D CAM INTERNATIONAL CORPORATION,9801 VARIEL AVE,CHATSWORTH,CA,91311,332710,Corporation,Unanswered,Male Owned,Non-Veteran,,13,05/01/2020,"JPMorgan Chase Bank, National Association",CA-30
"e $150,000-350,000","3D CLEANING OF VIRGINIA, INC",2139 Valley Ave,Winchester,VA,22601,561720,Corporation,Unanswered,Unanswered,Unanswered,,0,04/27/2020,Bank of Clarke County,VA-10
"e $150,000-350,000",3D COLOR INC,4817 VINE ST,CINCINNATI,OH,45217,424310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,05/03/2020,"PNC Bank, National Association",OH-01
"d $350,000-1 million","3D COMPANY, INC.",3200 E COUNTY ROAD 350,MUNCIE,IN,47303,236210,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,,04/07/2020,First Merchants Bank,IN-06
"d $350,000-1 million",3D CONSTRUCTION LLC,514GEORGE ST,PARKERSBURG,WV,26101,236220,Corporation,Unanswered,Male Owned,Unanswered,,24,04/08/2020,"WesBanco Bank, Inc.",WV-01
"e $150,000-350,000",3D CONTRACTING OF CENTRAL JERSEY INC,96 MAIN ST,MATAWAN,NJ,7747,236220,Corporation,Unanswered,Unanswered,Unanswered,,12,04/07/2020,Amboy Bank,NJ-06
"d $350,000-1 million",3D CORPORATION,PO BOX 578,DURANGO,CO,81302,238310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/10/2020,Alpine Bank,CO-03
c $1-2 million,3D DATA COM,11365 SUNRISE GOLD CIR,RANCHO CORDOVA,CA,95742,238210,Corporation,Unanswered,Unanswered,Unanswered,,175,04/15/2020,Umpqua Bank,CA-07
"d $350,000-1 million",3D DEVELOPMENT & HOLDINGS LLC,6005 South 40th Street,Phoenix,AZ,85042,453998,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,85,04/14/2020,"Readycap Lending, LLC",AZ-07
"d $350,000-1 million",3D DRYWALL INC,30909 164TH AVE SE,AUBURN,WA,98092,236115,Corporation,Unanswered,Unanswered,Unanswered,,0,06/10/2020,"Wells Fargo Bank, National Association",WA-08
"e $150,000-350,000","3D ENGINEERING SOLUTIONS, LLC",10597 Chester Road,CINCINNATI,OH,45215,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/08/2020,First Financial Bank,OH-01
"d $350,000-1 million",3D ENTERPRISES CONTRACTING CORPORATION,3257 Loch Ness Dr,LEXINGTON,KY,40517,236220,Corporation,Unanswered,Unanswered,Unanswered,,63,04/07/2020,Truist Bank d/b/a Branch Banking & Trust Co,KY-06
"d $350,000-1 million",3D ENVIRONMENTAL INC.,6222 UNIVERSITY AVE,SAN DIEGO,CA,92115,561720,Corporation,Unanswered,Unanswered,Unanswered,,21,04/28/2020,HomeStreet Bank,CA-53
a $5-10 million,3D EXHIBITS INC.,ALBION AVE,SCHAUMBURG,IL,60193,561920,Corporation,Unanswered,Unanswered,Unanswered,,187,04/05/2020,"Village Bank and Trust, National Association",IL-08
